search_term,uniprot_accession,gene_name,description,ec_number,synonyms,location,keywords,go_terms,family,zinc_link,cansar_link,nearest_drug_target,matching_drug_target_50,matching_drug_target_35,number_of_3d_structure,number_of_3d_structure_with_small_molecule_ligand,number_of_3d_structure_with_druggability,number_of_3d_structure_druggable,percentage_of_3d_structure_druggable,number_of_3d_structure_tractable,percentage_of_3d_structure_tractable,ligand_druggability_score,ligand_druggability_percentile_rank,matching_protein_variants,screened_compounds,screened_compounds_active,screened_compounds_active_ro5,screened_fragments,screened_fragments_active,screened_fragments_active_ro5,most_prevalent_mutation,most_prevalent_cnv,highest_expressing_celllines
,P35869,AHR,"Aryl hydrocarbon receptor",,"AHR_HUMAN, AHR, BHLHE76","Cytoplasm, Nucleus","P35869 AHR_HUMAN Aryl hydrocarbon receptor P35869,A4D130,Q13728,Q13803,Q13804 Class E basic helix-loop-helix protein 76 BHLHE76","cytoplasm, cytosol, cytosolic aryl hydrocarbon receptor complex, nuclear chromatin, nucleoplasm, nucleus, protein-containing complex, transcription regulator complex",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=AHR_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P35869/,,,,1,0,1,0,0,1,100,-0.4,75,1,215,21,3,55,6,2,,,
,Q99856,ARID3A,"AT-rich interactive domain-containing protein 3A",,"ARI3A_HUMAN, ARID3A, DRIL1, DRIL3, DRX, E2FBP1","Nucleus, Cytoplasm","Q99856 ARI3A_HUMAN AT-rich interactive domain-containing protein 3A Q99856,Q5I858,Q6P9C6,Q8IZA7,Q8N4Z3 B-cell regulator of IgH transcription, Dead ringer-like protein 1, E2F-binding protein 1 DRIL1, DRIL3, DRX, E2FBP1","cytosol, membrane raft, nucleoplasm, nucleus",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=ARI3A_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q99856/,,,,2,0,2,1,50,1,50,-3,59,,,,,,,,,,
,Q03989,ARID5A,"AT-rich interactive domain-containing protein 5A",,"ARI5A_HUMAN, ARID5A, MRF1",Nucleus,"Q03989 ARI5A_HUMAN AT-rich interactive domain-containing protein 5A Q03989,C9J1Q0,Q6NX37 Modulator recognition factor 1 MRF1","nucleolus, nucleoplasm, nucleus",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=ARI5A_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q03989/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,P27540,ARNT,"Aryl hydrocarbon receptor nuclear translocator",,"ARNT_HUMAN, ARNT, BHLHE2",Nucleus,"P27540 ARNT_HUMAN Aryl hydrocarbon receptor nuclear translocator P27540,B2R9H1,C4AMA1,F8WAP6,Q59ED4,Q5QP39,Q8NDC7 Class E basic helix-loop-helix protein 2, Dioxin receptor, nuclear translocator, Hypoxia-inducible factor 1-beta BHLHE2","cytoplasm, nuclear body, nuclear chromatin, nucleoplasm, nucleus, rna polymerase ii transcription regulator complex",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=ARNT_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P27540/,,,,25,1,25,2,8,15,60,-3,59,1,57,0,0,13,0,0,,,
,P18848,ATF4,"Cyclic AMP-dependent transcription factor ATF-4",,"ATF4_HUMAN, ATF4, CREB2, TXREB","Nucleus, Nucleus speckle, Cytoplasm, Cell membrane, Cytoplasm, Cytoskeleton, Microtubule organizing center, Centrosome","P18848 ATF4_HUMAN Cyclic AMP-dependent transcription factor ATF-4 P18848,Q96AQ3,Q9UH31 Activating transcription factor 4, Cyclic AMP-responsive element-binding protein 2, Tax-responsive enhancer element-binding protein 67 CREB2, TXREB","atf1-atf4 transcription factor complex, atf4-creb1 transcription factor complex, chop-atf4 complex, cytoplasm, lewy body core, microtubule organizing center, neuron projection, nuclear chromatin, nuclear periphery, nuclear speck, nucleoplasm, nucleus, plasma membrane, protein-containing complex","bZIP family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=ATF4_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P18848/,,,,1,0,1,0,0,0,0,-3,59,,,,,,,,,,
,P18850,ATF6,"Cyclic AMP-dependent transcription factor ATF-6 alpha",,"ATF6A_HUMAN, ATF6","Endoplasmic reticulum membrane, Golgi apparatus membrane, Nucleus","P18850 ATF6A_HUMAN Cyclic AMP-dependent transcription factor ATF-6 alpha P18850,O15139,Q5VW62,Q6IPB5,Q9UEC9 Activating transcription factor 6 alpha ","cytosol, endoplasmic reticulum, endoplasmic reticulum membrane, golgi apparatus, golgi membrane, integral component of endoplasmic reticulum membrane, membrane, nuclear chromatin, nuclear envelope, nucleoplasm, nucleus","bZIP family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=ATF6A_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P18850/,,,,0,0,0,0,0,0,0,0.8,88,,,,,,,,,,
,O14867,BACH1,"Transcription regulator protein BACH1",,"BACH1_HUMAN, BACH1",Nucleus,"O14867 BACH1_HUMAN Transcription regulator protein BACH1 O14867,O43285,Q6ICU0 BTB and CNC homolog 1, HA2303 ","cytoplasm, nuclear chromatin, nucleus","bZIP family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=BACH1_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/O14867/,,,,1,0,1,0,0,1,100,0.85,89,1,1,0,0,1,0,0,,,
,Q9NR55,BATF3,"Basic leucine zipper transcriptional factor ATF-like 3",,"BATF3_HUMAN, BATF3, SNFT",Nucleus,"Q9NR55 BATF3_HUMAN Basic leucine zipper transcriptional factor ATF-like 3 Q9NR55 21 kDa small nuclear factor isolated from T-cells, Jun dimerization protein p21SNFT SNFT","nuclear chromatin, nucleus","bZIP family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=BATF3_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q9NR55/,,,,0,0,0,0,0,0,0,0.05,80,,,,,,,,,,
,P41182,BCL6,"B-cell lymphoma 6 protein",,"BCL6_HUMAN, BCL6, BCL5, LAZ3, ZBTB27, ZNF51",Nucleus,"P41182 BCL6_HUMAN B-cell lymphoma 6 protein P41182,A7E241,B8PSA7,D3DNV5 B-cell lymphoma 5 protein, Protein LAZ-3, Zinc finger and BTB domain-containing protein 27, Zinc finger protein 51 BCL5, LAZ3, ZBTB27, ZNF51","golgi apparatus, nucleoplasm, nucleus",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=BCL6_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P41182/,,,,51,33,49,0,0,45,92,-3,59,1,95,19,4,25,3,2,,,
,P17676,CEBPB,"CCAAT/enhancer-binding protein beta",,"CEBPB_HUMAN, CEBPB, TCF5","Nucleus, Cytoplasm","P17676 CEBPB_HUMAN CCAAT/enhancer-binding protein beta P17676,A8K671,Q96IH2,Q9H4Z5 Liver activator protein, Liver-enriched inhibitory protein, Nuclear factor NF-IL6, Transcription factor 5 TCF5","chop-c/ebp complex, condensed chromosome, cytoplasm, nuclear chromatin, nuclear matrix, nucleoplasm, nucleus","bZIP family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=CEBPB_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P17676/,,,,13,0,13,0,0,0,0,0.75,88,,,,,,,,,,
